epoch,train_loss,val_loss
1,5.782677812108003,5.236663441386139
2,5.240944168736835,5.161445798581107
3,5.183790139412479,5.133586230159503
4,5.155295425247954,5.114498785713263
5,5.135515825282005,5.102363086757604
6,5.124548654531857,5.098869126616862
7,5.116665404603354,5.091650625941349
8,5.116334505384651,5.087146515560429
9,5.108103096877561,5.0876219370211775
10,5.09479473839734,5.082513580545347
11,5.088102256856047,5.081067459276545
12,5.087062999769642,5.078650255997975
13,5.08296730135511,5.084088458826668
14,5.077836891149812,5.070929319886436
15,5.077907365652097,5.074874623999958
16,5.07676347695569,5.073657906194876
17,5.06812603277888,5.077394761362968
18,5.065752633499157,5.074264980024761
19,5.097569019714236,5.071327703389508
