epoch,train_loss,val_loss,val_mse
1,6.429523204354679,1.2483362343750501,8.286468
2,6.017834890589994,1.1098281184309406,7.301791
3,5.656715625875137,1.012859841057083,6.5284004
4,5.273691023097319,0.9735283419838425,5.994059
5,4.907802823010613,0.9710912068772037,5.5888996
6,4.574881009494557,1.00718756551631,5.4957676
7,4.278934201072244,1.079059946083883,5.5923166
8,4.0022318755879125,1.2151596220264658,6.203681
9,3.789278737236472,1.3531990842512476,6.931584
10,3.6368856093462774,1.3906033445171446,7.169207
11,3.544461648604449,1.4432174518094425,7.5367885
12,3.4844545168035173,1.4422801135227694,7.531303
13,3.3935500313253963,1.5596163105546383,8.251957
14,3.3624427122228284,1.6133780808825242,8.534745
