epoch,train_loss,val_loss
1,1.0031278097202243,0.906467647013957
2,0.9380141542440971,0.901809823443318
3,0.9308798539873973,0.9018906147943603
4,0.9265357955102076,0.8980020164397725
5,0.9216945227494445,0.901482833625629
6,0.922718309972438,0.9021087657899884
7,0.918574171599979,0.8953106966719293
8,0.9171973999259938,0.8912971112986057
9,0.91619723618859,0.8918768087761444
10,0.9161304504049896,0.8938603675679156
11,0.9179572229162567,0.8998458005967196
12,0.9122091827923657,0.8920599273596591
13,0.9109299831915355,0.8888716860211383
14,0.9122258897955259,0.8888787859015994
15,0.9133310070712373,0.8921779630302685
16,0.9095723952746514,0.887726280293618
17,0.9106107909224203,0.8880671702368915
18,0.909665674974034,0.8871543836611057
19,0.9090778391642037,0.8871416273521401
20,0.9081934880037419,0.885980099918898
21,0.9082911332419256,0.8873252727919154
22,0.9058109801794023,0.885399042950039
23,0.9058935586649218,0.8875525933608674
24,0.9060037626279211,0.8844473766740303
25,0.9075967082270062,0.8852002071271166
26,0.9050596181218783,0.8849134280493385
27,0.9047091469092359,0.886333714233853
28,0.9054925070466486,0.8881910102583511
29,0.9046801467315071,0.8866851942842466
