epoch,train_loss,val_loss
1,0.958974563833476,0.9049210399824973
2,0.9094879570326495,0.8949182624356788
3,0.9037081801551228,0.8918124775440373
4,0.8994865936691101,0.890999836400587
5,0.8980076920429153,0.8888590587248579
6,0.8970442437502094,0.8887793870958668
7,0.8961038695322656,0.8874638703221466
8,0.8959221137795208,0.8873176434409549
9,0.8951433305768262,0.8874288470162983
10,0.894416256267482,0.8867504405870772
11,0.8963405091067519,0.8864751183237248
12,0.893460875572589,0.8867125142561761
13,0.8930074500782523,0.8867994738601105
14,0.8962433409509907,0.8862355444253537
15,0.8925375474811734,0.8880657615978815
16,0.8923075789123796,0.8861776077085071
17,0.892261507737654,0.8868868726997348
18,0.8941027239869787,0.8860969883743782
19,0.8921191877826514,0.885857959065521
20,0.8916942380428663,0.8864481091847893
21,0.890858440435796,0.8859332206914996
22,0.8907104088994998,0.8861967617569612
23,0.8934653546789221,0.8858212063535612
24,0.8905468907945768,0.887723558261032
25,0.8909732802405179,0.8868621903640485
26,0.8914672380371869,0.886095338136132
27,0.8896563746901699,0.8860333805892899
28,0.8898832082704811,0.8858484576145808
