epoch,train_loss,val_loss
1,2.7397826421234672,1.312287674312703
2,2.6258766703912615,1.4056537557415099
3,2.6200501334518957,1.2269065620606405
4,2.5661615238585607,1.1733738231031519
5,2.567825818506574,1.3648954300503982
6,2.5531989050417288,1.3703755074077182
7,2.553668109229994,1.2884849482461025
8,2.5206171715006658,1.33248220253409
9,2.5320894759156536,1.338883646398957
10,2.5263873069671794,1.311201521353415
11,2.5024534020444817,1.2873964149352404
12,2.523804531667733,1.3417659722573576
