epoch,train_loss,val_loss,val_mse
1,5.174213103894834,1.2165503842614547,8.152538
2,4.591972370500918,0.9937080212852412,6.5014896
3,4.090313637698138,0.9545882487593339,5.836236
4,3.6684461355209352,1.041805425756856,5.532912
5,3.3283746772342258,1.1842947121252094,6.0236197
6,3.0958858710748176,1.348496837225574,6.9718347
7,2.9238269276089137,1.452187054687076,7.55504
8,2.8407124748936408,1.5861477125109287,8.442074
9,2.818138034255416,1.5800764921464419,8.510124
10,2.7765003186685067,1.6557420310918352,8.97046
11,2.781057098176744,1.5880543835330427,8.511419
12,2.7504470136430528,1.6525825983599614,9.038947
